Date,Open,High,Low,Close,Adj Close,Volume
2021-04-04,15.280101,18.657553,14.980475,16.732721,16.732721,55074383
2021-04-05,16.669449,16.901836,15.302097,15.571630,15.571630,23990697
2021-04-06,15.568663,20.799639,15.039831,18.661518,18.661518,106357858
2021-04-07,18.482035,21.168736,16.578852,16.578852,16.578852,67707422
2021-04-08,16.630060,18.404104,16.509729,16.854721,16.854721,29648045
2021-04-09,16.855513,17.691549,16.213619,16.213619,16.213619,19957049
2021-04-10,16.187773,19.493795,15.416740,17.248163,17.248163,61653397
2021-04-11,17.182442,17.479397,16.062817,17.090950,17.090950,30237680
2021-04-12,17.077028,17.997835,16.004881,16.231876,16.231876,18075806
2021-04-13,16.229477,16.515549,15.544708,16.157347,16.157347,16346439
2021-04-14,16.087187,16.257935,13.706936,15.318914,15.318914,24440327
2021-04-15,15.331663,15.989190,14.746183,15.352992,15.352992,17370037
2021-04-16,15.339409,15.671422,13.955164,14.835062,14.835062,19462805
2021-04-17,14.830177,15.650255,14.608149,15.484221,15.484221,14015615
2021-04-18,15.575152,16.909204,9.190317,15.998256,15.998256,59715344
2021-04-19,16.127171,16.547607,12.580868,12.927221,12.927221,30322734
2021-04-20,12.803945,13.847996,11.377719,13.009306,13.009306,28628793
2021-04-21,13.058041,13.510882,11.756319,12.587773,12.587773,22281686
2021-04-22,12.572407,13.981581,11.779699,12.098556,12.098556,27075124
2021-04-23,12.101093,14.666122,11.103980,14.172415,14.172415,42439987
2021-04-24,14.216403,14.310116,12.505302,12.889642,12.889642,16643552
2021-04-25,12.831323,13.855836,12.598058,13.456858,13.456858,11689508
2021-04-26,13.475098,15.182152,13.309021,15.040897,15.040897,20397992
2021-04-27,15.076535,17.944128,15.038998,17.826067,17.826067,32423417
2021-04-28,17.793930,18.791716,16.948484,17.186049,17.186049,30101375
2021-04-29,17.205463,17.460161,15.946915,16.514345,16.514345,16518924
2021-04-30,16.476809,17.567013,16.235069,16.982664,16.982664,15293112
2021-05-01,16.983961,17.345373,16.339422,17.058811,17.058811,12344738
2021-05-02,17.059755,19.698765,16.499645,18.559763,18.559763,40103441
2021-05-03,18.429447,19.493944,18.046068,18.273594,18.273594,20680523
2021-05-04,18.263811,19.192686,16.492207,16.832655,16.832655,23252873
2021-05-05,16.715656,18.366589,16.544502,18.295431,18.295431,21134348
